sample_id,valve,notch,top,opp.notch,bottom,notch_avg,top_avg,opp_avg,bottom_avg,avg_overall
171,R,0.37,0.39,0.42,2.07,0.405,0.39,0.405,1.845,0.76125
172,L,0.44,0.39,0.39,1.62,0.375,0.405,0.435,1.77,0.74625
172,R,0.31,0.42,0.48,1.92,0.32,0.31,0.41,1.955,0.74875
173,L,0.33,0.2,0.34,1.99,0.28,0.22,0.36,2.18,0.76
173,R,0.23,0.24,0.38,2.37,0.26,0.29,0.455,2.245,0.8125
174,L,0.29,0.34,0.53,2.12,0.275,0.3,0.45,2.15,0.79375
174,R,0.26,0.26,0.37,2.18,0.25,0.405,0.465,2.06,0.795
175,L,0.24,0.55,0.56,1.94,0.24,0.535,0.52,1.965,0.815
175,R,0.24,0.52,0.48,1.99,0.325,0.6,0.485,2.305,0.92875
176,L,0.41,0.68,0.49,2.62,0.385,0.755,0.515,2.555,1.0525
176,R,0.36,0.83,0.54,2.49,0.405,0.515,0.56,2.03,0.8775
177,L,0.45,0.2,0.58,1.57,0.475,0.23,0.575,1.755,0.75875
177,R,0.5,0.26,0.57,1.94,0.42,0.36,0.68,2.035,0.87375
178,L,0.34,0.46,0.79,2.13,0.5,0.44,0.705,2.145,0.9475
178,R,0.66,0.42,0.62,2.16,0.615,0.295,0.65,2.7,1.065
179,L,0.57,0.17,0.68,3.24,0.575,0.29,0.6,2.895,1.09
179,R,0.58,0.41,0.52,2.55,0.525,0.31,0.515,2.355,0.92625
180,L,0.47,0.21,0.51,2.16,0.375,0.145,0.5,2.27,0.8225
180,R,0.28,0.08,0.49,2.38,0.345,0.175,0.48,2.135,0.78375
181,L,0.41,0.27,0.47,1.89,0.405,0.37,0.49,1.935,0.8
181,R,0.4,0.47,0.51,1.98,0.315,0.46,0.525,1.935,0.80875
182,L,0.23,0.45,0.54,1.89,0.235,0.315,0.61,1.955,0.77875
182,R,0.24,0.18,0.68,2.02,0.235,0.18,0.605,1.91,0.7325
183,L,0.23,0.18,0.53,1.8,0.26,0.24,0.405,1.725,0.6575
183,R,0.29,0.3,0.28,1.65,0.38,0.385,0.505,1.785,0.76375
184,L,0.47,0.47,0.73,1.92,0.47,0.29,0.675,1.945,0.845
184,R,0.47,0.11,0.62,1.97,0.335,0.195,0.63,2.025,0.79625
185,L,0.2,0.28,0.64,2.08,0.23,0.31,0.585,2.085,0.8025
185,R,0.26,0.34,0.53,2.09,0.295,0.255,0.475,1.835,0.715
186,L,0.33,0.17,0.42,1.58,0.325,0.21,0.4,1.575,0.6275
186,R,0.32,0.25,0.38,1.57,0.265,0.25,0.36,1.465,0.585
187,L,0.21,0.25,0.34,1.36,0.25,0.265,0.44,1.525,0.62
187,R,0.29,0.28,0.54,1.69,0.335,0.325,0.53,1.875,0.76625
188,L,0.38,0.37,0.52,2.06,0.425,0.34,0.51,2.065,0.835
188,R,0.47,0.31,0.5,2.07,0.375,0.26,0.56,1.945,0.785
189,L,0.28,0.21,0.62,1.82,0.285,0.255,0.52,1.915,0.74375
189,R,0.29,0.3,0.42,2.01,0.42,0.42,0.635,1.805,0.82
190,L,0.55,0.54,0.85,1.6,0.385,0.415,0.74,1.83,0.8425
190,R,0.22,0.29,0.63,2.06,0.26,0.245,0.62,1.815,0.735
191,L,0.3,0.2,0.61,1.57,0.315,0.295,0.745,1.925,0.82
191,R,0.33,0.39,0.88,2.28,0.395,0.535,0.675,1.765,0.8425
192,L,0.46,0.68,0.47,1.25,0.595,0.72,0.52,1.465,0.825
192,R,0.73,0.76,0.57,1.68,0.535,0.47,0.56,1.41,0.74375
193,L,0.34,0.18,0.55,1.14,0.37,0.275,0.49,1.425,0.64
193,R,0.4,0.37,0.43,1.71,0.455,0.425,0.61,1.64,0.7825
194,L,0.51,0.48,0.79,1.57,0.565,0.485,0.8,1.505,0.83875
194,R,0.62,0.49,0.81,1.44,0.585,0.47,0.685,1.53,0.8175
195,L,0.55,0.45,0.56,1.62,0.515,0.485,0.415,1.78,0.79875
195,R,0.48,0.52,0.27,1.94,0.435,0.58,0.465,1.645,0.78125
196,L,0.39,0.64,0.66,1.35,0.44,0.715,0.59,1.535,0.82
196,R,0.49,0.79,0.52,1.72,0.64,0.655,0.55,1.58,0.85625
197,L,0.79,0.52,0.58,1.44,0.775,0.74,0.665,1.565,0.93625
197,R,0.76,0.96,0.75,1.69,0.625,0.845,0.67,1.545,0.92125
198,L,0.49,0.73,0.59,1.4,0.485,0.6,0.605,1.705,0.84875
198,R,0.48,0.47,0.62,2.01,0.58,0.55,0.61,1.72,0.865
199,L,0.68,0.63,0.6,1.43,0.75,0.595,0.705,1.76,0.9525
199,R,0.82,0.56,0.81,2.09,0.675,0.46,0.795,1.955,0.97125
200,L,0.53,0.36,0.78,1.82,0.51,0.44,0.67,2.085,0.92625
200,R,0.49,0.52,0.56,2.35,0.475,0.425,0.535,1.935,0.8425
201,L,0.46,0.33,0.51,1.52,0.33,0.39,0.45,1.595,0.69125
201,R,0.2,0.45,0.39,1.67,0.365,0.42,0.635,1.61,0.7575
202,L,0.53,0.39,0.88,1.55,0.48,0.415,0.705,1.585,0.79625
202,R,0.43,0.44,0.53,1.62,0.46,0.4,0.465,1.64,0.74125
203,L,0.49,0.36,0.4,1.66,0.39,0.325,0.385,1.56,0.665
203,R,0.29,0.29,0.37,1.46,0.365,0.425,0.4,1.4,0.6475
204,L,0.44,0.56,0.43,1.34,0.37,0.54,0.525,1.505,0.735
204,R,0.3,0.52,0.62,1.67,0.465,0.545,0.595,1.47,0.76875
205,L,0.63,0.57,0.57,1.27,0.585,0.565,0.655,1.785,0.8975
205,R,0.54,0.56,0.74,2.3,0.7,0.42,0.785,1.86,0.94125
206,L,0.86,0.28,0.83,1.42,0.695,0.335,0.82,1.69,0.885
206,R,0.53,0.39,0.81,1.96,0.54,0.37,0.895,1.77,0.89375
207,L,0.55,0.35,0.98,1.58,0.66,0.395,0.805,1.59,0.8625
207,R,0.77,0.44,0.63,1.6,0.625,0.39,0.62,1.43,0.76625
208,L,0.48,0.34,0.61,1.26,0.52,0.335,0.53,1.315,0.675
208,R,0.56,0.33,0.45,1.37,0.46,0.435,0.5,1.29,0.67125
209,L,0.36,0.54,0.55,1.21,0.325,0.465,0.47,1.44,0.675
209,R,0.29,0.39,0.39,1.67,0.335,0.41,0.52,2.055,0.83
210,L,0.38,0.43,0.65,2.44,0.375,0.405,0.55,2.25,0.895
210,R,0.37,0.38,0.45,2.06,0.36,0.335,0.46,1.93,0.77125
211,L,0.35,0.29,0.47,1.8,0.335,0.405,0.56,1.855,0.78875
211,R,0.32,0.52,0.65,1.91,0.475,0.435,0.68,1.765,0.83875
212,L,0.63,0.35,0.71,1.62,0.67,0.295,0.66,1.925,0.8875
212,R,0.71,0.24,0.61,2.23,0.475,0.25,0.585,2.04,0.8375
213,L,0.24,0.26,0.56,1.85,0.27,0.315,0.525,1.725,0.70875
213,R,0.3,0.37,0.49,1.6,0.37,0.395,0.48,1.87,0.77875
214,L,0.44,0.42,0.47,2.14,0.43,0.5,0.51,2.37,0.9525
214,R,0.42,0.58,0.55,2.6,0.38,0.5,0.595,2.055,0.8825
215,L,0.34,0.42,0.64,1.51,0.315,0.365,0.615,1.6,0.72375
215,R,0.29,0.31,0.59,1.69,0.255,0.37,0.475,1.54,0.66
216,L,0.22,0.43,0.36,1.39,0.225,0.355,0.33,1.495,0.60125
216,R,0.23,0.28,0.3,1.6,0.355,0.245,0.52,1.78,0.725
217,L,0.48,0.21,0.74,1.96,0.535,0.3,0.69,1.99,0.87875
217,R,0.59,0.39,0.64,2.02,0.415,0.35,0.535,1.665,0.74125
218,L,0.24,0.31,0.43,1.31,0.24,0.265,0.315,1.495,0.57875
218,R,0.24,0.22,0.2,1.68,0.305,0.275,0.27,1.27,0.53
219,L,0.37,0.33,0.34,0.86,0.35,0.265,0.445,1.3,0.59
219,R,0.33,0.2,0.55,1.74,0.39,0.33,0.63,1.595,0.73625
220,L,0.45,0.46,0.71,1.45,0.465,0.47,0.66,1.625,0.805
220,R,0.48,0.48,0.61,1.8,0.405,0.335,0.615,1.575,0.7325
221,L,0.33,0.19,0.62,1.35,0.365,0.255,0.49,1.435,0.63625
221,R,0.4,0.32,0.36,1.52,0.505,0.455,0.435,1.41,0.70125
222,L,0.61,0.59,0.51,1.3,0.595,0.58,0.565,1.84,0.895
222,R,0.58,0.57,0.62,2.38,0.395,0.44,0.575,1.83,0.81
223,L,0.21,0.31,0.53,1.28,0.34,0.245,0.46,1.465,0.6275
223,R,0.47,0.18,0.39,1.65,0.445,0.395,0.56,1.37,0.6925
224,L,0.42,0.61,0.73,1.09,0.39,0.625,0.61,1.32,0.73625
224,R,0.36,0.64,0.49,1.55,0.415,0.64,0.55,1.6,0.80125
225,L,0.47,0.64,0.61,1.65,0.465,0.615,0.525,1.785,0.8475
225,R,0.46,0.59,0.44,1.92,0.43,0.465,0.47,1.58,0.73625
226,L,0.4,0.34,0.5,1.24,0.365,0.365,0.52,1.345,0.64875
226,R,0.33,0.39,0.54,1.45,0.345,0.56,0.615,1.455,0.74375
227,L,0.36,0.73,0.69,1.46,0.4,0.91,0.62,1.605,0.88375
227,R,0.44,1.09,0.55,1.75,0.35,0.75,0.45,1.345,0.72375
228,L,0.26,0.41,0.35,0.94,0.355,0.385,0.4,1.51,0.6625
228,R,0.45,0.36,0.45,2.08,0.475,0.49,0.46,1.725,0.7875
229,L,0.5,0.62,0.47,1.37,0.46,0.56,0.58,1.675,0.81875
229,R,0.42,0.5,0.69,1.98,0.44,0.52,0.665,1.72,0.83625
230,L,0.46,0.54,0.64,1.46,0.55,0.49,0.715,1.735,0.8725
230,R,0.64,0.44,0.79,2.01,0.515,0.47,0.715,1.99,0.9225
231,L,0.39,0.5,0.64,1.97,0.37,0.495,0.655,2.095,0.90375
231,R,0.35,0.49,0.67,2.22,0.36,0.325,0.72,2.01,0.85375
232,L,0.37,0.16,0.77,1.8,0.415,0.175,0.62,1.755,0.74125
232,R,0.46,0.19,0.47,1.71,0.385,0.225,0.53,2.05,0.7975
233,L,0.31,0.26,0.59,2.39,0.305,0.36,0.475,2.43,0.8925
233,R,0.3,0.46,0.36,2.47,0.285,0.305,0.465,2.04,0.77375
234,L,0.27,0.15,0.57,1.61,0.325,0.37,0.45,1.6,0.68625
234,R,0.38,0.59,0.33,1.59,0.315,0.45,0.345,1.695,0.70125
235,L,0.25,0.31,0.36,1.8,0.19,0.34,0.35,1.775,0.66375
235,R,0.13,0.37,0.34,1.75,0.24,0.29,0.34,1.575,0.61125
236,L,0.35,0.21,0.34,1.4,0.335,0.24,0.34,1.465,0.595
236,R,0.32,0.27,0.34,1.53,0.395,0.295,0.495,1.705,0.7225
237,L,0.47,0.32,0.65,1.88,0.44,0.38,0.56,1.595,0.74375
237,R,0.41,0.44,0.47,1.31,0.36,0.43,0.48,1.55,0.705
238,L,0.31,0.42,0.49,1.79,0.305,0.415,0.38,1.86,0.74
238,R,0.3,0.41,0.27,1.93,0.42,0.475,0.32,1.795,0.7525
239,L,0.54,0.54,0.37,1.66,0.465,0.59,0.395,1.615,0.76625
239,R,0.39,0.64,0.42,1.57,0.4,0.56,0.495,1.54,0.74875
240,L,0.41,0.48,0.57,1.51,0.48,0.495,0.53,1.665,0.7925
240,R,0.55,0.51,0.49,1.82,0.45,0.475,0.52,1.815,0.815
241,L,0.35,0.44,0.55,1.81,0.4,0.425,0.535,1.94,0.825
241,R,0.45,0.41,0.52,2.07,0.455,0.425,0.615,2.05,0.88625
242,L,0.46,0.44,0.71,2.03,0.415,0.42,0.795,2.095,0.93125
242,R,0.37,0.4,0.88,2.16,0.385,0.35,0.635,1.525,0.72375
243,L,0.4,0.3,0.39,0.89,0.39,0.2,0.435,1.15,0.54375
243,R,0.38,0.1,0.48,1.41,0.345,0.265,0.45,1.31,0.5925
244,L,0.31,0.43,0.42,1.21,0.385,0.545,0.385,1.245,0.64
244,R,0.46,0.66,0.35,1.28,0.425,0.675,0.58,1.195,0.71875
245,L,0.39,0.69,0.81,1.11,0.515,0.71,0.835,1.49,0.8875
245,R,0.64,0.73,0.86,1.87,0.595,0.82,0.79,1.525,0.9325
246,L,0.55,0.91,0.72,1.18,0.565,0.845,0.76,1.5,0.9175
246,R,0.58,0.78,0.8,1.82,0.675,0.845,0.725,1.57,0.95375
247,L,0.77,0.91,0.65,1.32,0.775,0.9,0.575,1.72,0.9925
247,R,0.78,0.89,0.5,2.12,0.645,0.64,0.595,1.76,0.91
248,L,0.51,0.39,0.69,1.4,0.47,0.43,0.59,1.79,0.82
248,R,0.43,0.47,0.49,2.18,0.53,0.475,0.505,1.915,0.85625
249,L,0.63,0.48,0.52,1.65,0.68,0.405,0.54,1.82,0.86125
249,R,0.73,0.33,0.56,1.99,0.5,0.38,0.635,1.785,0.825
250,L,0.27,0.43,0.71,1.58,0.33,0.465,0.765,1.52,0.77
250,R,0.39,0.5,0.82,1.46,0.355,0.495,0.63,1.435,0.72875
251,L,0.32,0.49,0.44,1.41,0.33,0.45,0.435,1.53,0.68625
251,R,0.34,0.41,0.43,1.65,0.33,0.335,0.41,1.445,0.63
252,L,0.32,0.26,0.39,1.24,0.315,0.205,0.39,1.4,0.5775
252,R,0.31,0.15,0.39,1.56,0.25,0.305,0.48,1.5,0.63375
253,L,0.19,0.46,0.57,1.44,0.325,0.545,0.45,1.835,0.78875
253,R,0.46,0.63,0.33,2.23,0.365,0.51,0.3,1.655,0.7075
254,L,0.27,0.39,0.27,1.08,0.355,0.305,0.33,1.47,0.615
254,R,0.44,0.22,0.39,1.86,0.49,0.305,0.49,1.69,0.74375
255,L,0.54,0.39,0.59,1.52,0.55,0.345,0.51,1.725,0.7825
255,R,0.56,0.3,0.43,1.93,0.46,0.44,0.465,1.58,0.73625
256,L,0.36,0.58,0.5,1.23,0.39,0.48,0.505,1.46,0.70875
256,R,0.42,0.38,0.51,1.69,0.37,0.26,0.44,1.315,0.59625
257,L,0.32,0.14,0.37,0.94,0.26,0.15,0.315,1.23,0.48875
257,R,0.2,0.16,0.26,1.52,0.3,0.285,0.32,1.42,0.58125
258,L,0.4,0.41,0.38,1.32,0.29,0.435,0.42,1.32,0.61625
258,R,0.18,0.46,0.46,1.32,0.215,0.365,0.465,1.47,0.62875
259,L,0.25,0.27,0.47,1.62,0.215,0.255,0.4,1.5,0.5925
259,R,0.18,0.24,0.33,1.38,0.235,0.225,0.39,1.3,0.5375
260,L,0.29,0.21,0.45,1.22,0.315,0.215,0.435,1.175,0.535
260,R,0.34,0.22,0.42,1.13,0.335,0.19,0.425,1.435,0.59625
261,L,0.33,0.16,0.43,1.74,0.295,0.15,0.275,1.715,0.60875
261,R,0.26,0.14,0.12,1.69,0.25,0.13,0.165,1.645,0.5475
262,L,0.24,0.12,0.21,1.6,0.295,0.105,0.22,1.66,0.57
262,R,0.35,0.09,0.23,1.72,0.28,0.15,0.25,1.69,0.5925
263,L,0.21,0.21,0.27,1.66,0.19,0.23,0.3,1.665,0.59625
263,R,0.17,0.25,0.33,1.67,0.205,0.21,0.435,1.65,0.625
264,L,0.24,0.17,0.54,1.63,0.225,0.245,0.41,1.695,0.64375
264,R,0.21,0.32,0.28,1.76,0.185,0.21,0.32,1.86,0.64375
265,L,0.16,0.1,0.36,1.96,0.14,0.19,0.395,2.285,0.7525
265,R,0.12,0.28,0.43,2.61,0.145,0.22,0.485,2.155,0.75125
266,L,0.17,0.16,0.54,1.7,0.21,0.125,0.455,1.755,0.63625
266,R,0.25,0.09,0.37,1.81,0.24,0.07,0.41,1.93,0.6625
267,L,0.23,0.05,0.45,2.05,0.175,0.085,0.43,2.075,0.69125
267,R,0.12,0.12,0.41,2.1,0.185,0.265,0.475,2.145,0.7675
268,L,0.25,0.41,0.54,2.19,0.255,0.425,0.42,2.3,0.85
268,R,0.26,0.44,0.3,2.41,0.23,0.275,0.32,2.135,0.74
269,L,0.2,0.11,0.34,1.86,0.175,0.125,0.31,1.96,0.6425
269,R,0.15,0.14,0.28,2.06,0.18,0.105,0.32,1.905,0.6275
270,L,0.21,0.07,0.36,1.75,0.31,0.085,0.285,1.56,0.56
270,R,0.41,0.1,0.21,1.37,0.345,0.165,0.325,1.845,0.67
271,L,0.28,0.23,0.44,2.32,0.245,0.21,0.445,2.25,0.7875
271,R,0.21,0.19,0.45,2.18,0.295,0.19,0.415,1.905,0.70125
272,L,0.38,0.19,0.38,1.63,0.33,0.175,0.435,1.68,0.655
272,R,0.28,0.16,0.49,1.73,0.34,0.225,0.375,1.675,0.65375
273,L,0.4,0.29,0.26,1.62,0.275,0.285,0.285,1.78,0.65625
273,R,0.15,0.28,0.31,1.94,0.28,0.2,0.385,2.15,0.75375
274,L,0.41,0.12,0.46,2.36,0.325,0.335,0.5,2.225,0.84625
274,R,0.24,0.55,0.54,2.09,0.27,0.375,0.545,2.17,0.84
275,L,0.3,0.2,0.55,2.25,0.325,0.18,0.465,2.085,0.76375
275,R,0.35,0.16,0.38,1.92,0.325,0.425,0.55,1.86,0.79
276,L,0.3,0.69,0.72,1.8,0.315,0.465,0.59,1.865,0.80875
276,R,0.33,0.24,0.46,1.93,0.31,0.44,0.405,1.74,0.72375
277,L,0.29,0.64,0.35,1.55,0.27,0.55,0.4,1.69,0.7275
277,R,0.25,0.46,0.45,1.83,0.285,0.44,0.445,1.775,0.73625
278,L,0.32,0.42,0.44,1.72,0.3,0.435,0.5,1.815,0.7625
278,R,0.28,0.45,0.56,1.91,0.44,0.5,0.515,2.02,0.86875
279,L,0.6,0.55,0.47,2.13,0.58,0.535,0.475,2.215,0.95125
279,R,0.56,0.52,0.48,2.3,0.52,0.56,0.495,1.88,0.86375
280,L,0.48,0.6,0.51,1.46,0.505,0.585,0.5,1.62,0.8025
280,R,0.53,0.57,0.49,1.78,0.46,0.455,0.42,2.185,0.88
281,L,0.39,0.34,0.35,2.59,0.36,0.29,0.47,2.555,0.91875
281,R,0.33,0.24,0.59,2.52,0.425,0.335,0.71,2.35,0.955
282,L,0.52,0.43,0.83,2.18,0.45,0.38,0.77,2.265,0.96625
282,R,0.38,0.33,0.71,2.35,0.515,0.315,0.69,2.08,0.9
283,L,0.65,0.3,0.67,1.81,0.55,0.29,0.72,1.865,0.85625
283,R,0.45,0.28,0.77,1.92,0.38,0.365,0.7,2.07,0.87875
284,L,0.31,0.45,0.63,2.22,0.365,0.385,0.735,2.33,0.95375
284,R,0.42,0.32,0.84,2.44,0.395,0.3,0.7,2.34,0.93375
285,L,0.37,0.28,0.56,2.24,0.3,0.285,0.54,2.38,0.87625
285,R,0.23,0.29,0.52,2.52,0.3,0.305,0.45,1.98,0.75875
286,L,0.37,0.32,0.38,1.44,0.355,0.375,0.425,1.42,0.64375
286,R,0.34,0.43,0.47,1.4,0.5,0.27,0.44,1.49,0.675
287,L,0.66,0.11,0.41,1.58,0.505,0.115,0.38,1.68,0.67
287,R,0.35,0.12,0.35,1.78,0.38,0.26,0.43,1.855,0.73125
288,L,0.41,0.4,0.51,1.93,0.405,0.33,0.515,1.94,0.7975
288,R,0.4,0.26,0.52,1.95,0.445,0.185,0.44,1.905,0.74375
289,L,0.49,0.11,0.36,1.86,0.445,0.12,0.395,1.92,0.72
289,R,0.4,0.13,0.43,1.98,0.29,0.175,0.41,1.865,0.685
290,L,0.18,0.22,0.39,1.75,0.18,0.25,0.385,1.725,0.635
290,R,0.18,0.28,0.38,1.7,0.195,0.185,0.225,1.75,0.58875
291,L,0.21,0.09,0.07,1.8,0.23,0.09,0.14,1.79,0.5625
291,R,0.25,0.09,0.21,1.78,0.325,0.15,0.295,1.56,0.5825
292,L,0.4,0.21,0.38,1.34,0.35,0.17,0.35,1.44,0.5775
292,R,0.3,0.13,0.32,1.54,0.29,0.305,0.265,1.31,0.5425
293,L,0.28,0.48,0.21,1.08,0.28,0.4,0.205,1.17,0.51375
293,R,0.28,0.32,0.2,1.26,0.265,0.24,0.265,1.305,0.51875
294,L,0.25,0.16,0.33,1.35,0.235,0.145,0.31,1.62,0.5775
294,R,0.22,0.13,0.29,1.89,0.29,0.15,0.415,1.705,0.64
295,L,0.36,0.17,0.54,1.52,0.385,0.175,0.51,1.71,0.695
295,R,0.41,0.18,0.48,1.9,0.325,0.14,0.47,1.77,0.67625
296,L,0.24,0.1,0.46,1.64,0.27,0.07,0.41,1.635,0.59625
296,R,0.3,0.04,0.36,1.63,0.38,0.15,0.38,1.735,0.66125
297,L,0.46,0.26,0.4,1.84,0.42,0.255,0.355,1.945,0.74375
297,R,0.38,0.25,0.31,2.05,0.395,0.32,0.365,1.8,0.72
298,L,0.41,0.39,0.42,1.55,0.43,0.39,0.44,1.62,0.72
298,R,0.45,0.39,0.46,1.69,0.37,0.29,0.39,1.7,0.6875
299,L,0.29,0.19,0.32,1.71,0.285,0.16,0.36,1.83,0.65875
299,R,0.28,0.13,0.4,1.95,0.315,0.195,0.435,1.9,0.71125
300,L,0.35,0.26,0.47,1.85,0.395,0.32,0.455,1.84,0.7525
300,R,0.44,0.38,0.44,1.83,0.385,0.385,0.65,1.835,0.81375
301,L,0.33,0.39,0.86,1.84,0.35,0.33,0.76,1.76,0.8
301,R,0.37,0.27,0.66,1.68,0.42,0.29,0.635,1.82,0.79125
302,L,0.47,0.31,0.61,1.96,0.365,0.33,0.53,1.915,0.785
302,R,0.26,0.35,0.45,1.87,0.325,0.32,0.57,1.72,0.73375
303,L,0.39,0.29,0.69,1.57,0.36,0.29,0.61,1.705,0.74125
303,R,0.33,0.29,0.53,1.84,0.285,0.245,0.56,1.77,0.715
304,L,0.24,0.2,0.59,1.7,0.285,0.235,0.46,1.925,0.72625
304,R,0.33,0.27,0.33,2.15,0.345,0.23,0.32,2.325,0.805
305,L,0.36,0.19,0.31,2.5,0.32,0.14,0.43,2.52,0.8525
305,R,0.28,0.09,0.55,2.54,0.315,0.18,0.51,2.26,0.81625
306,L,0.35,0.27,0.47,1.98,0.32,0.235,0.39,2.035,0.745
306,R,0.29,0.2,0.31,2.09,0.3,0.18,0.36,1.845,0.67125
307,L,0.31,0.16,0.41,1.6,0.28,0.13,0.37,1.655,0.60875
307,R,0.25,0.1,0.33,1.71,0.3,0.14,0.345,1.79,0.64375
308,L,0.35,0.18,0.36,1.87,0.34,0.235,0.415,1.835,0.70625
308,R,0.33,0.29,0.47,1.8,0.405,0.325,0.61,1.915,0.81375
309,L,0.48,0.36,0.75,2.03,0.475,0.3,0.695,2.125,0.89875
309,R,0.47,0.24,0.64,2.22,0.41,0.385,0.475,1.88,0.7875
310,L,0.35,0.53,0.31,1.54,0.35,0.515,0.35,1.565,0.695
310,R,0.35,0.5,0.39,1.59,0.335,0.325,0.34,1.69,0.6725
311,L,0.32,0.15,0.29,1.79,0.28,0.165,0.365,1.63,0.61
311,R,0.24,0.18,0.44,1.47,0.32,0.17,0.47,1.61,0.6425
312,L,0.4,0.16,0.5,1.75,0.335,0.14,0.43,1.79,0.67375
312,R,0.27,0.12,0.36,1.83,0.135,0.06,0.18,0.915,0.3225
