sample_id,site_name,site_number,reporting_area,pcb_group,geo_group,pah_group,latitude,longitude,p450,sod,shell_thickness,length_mm,length_cm,width_mm,width_cm,height_mm,height_cm,weight_initial_g,weight_final_g,weight_change_g,ci1,shell_volume_mm3,shell_volume_ml,ci2,ci3
120,Thea Foss Waterway,46,11,3,1,7,47.259189,-122.434689,2434731,13.817,0.925,55.99,5.6,24.13,2.41,18.48,1.85,13.1584,4.2112,8.95,35.84703823,24967.19518,24.96719518,0.680173881,0.050963466
121,Thea Foss Waterway,46,11,2,1,5,47.259189,-122.434689,0,48.798,0.95,57.47,5.75,26.45,2.65,21.89,2.19,16.6034,5.2085,11.39,34.23033024,33274.58404,33.27458404,0.686004071,0.059912879
122,Thea Foss Waterway,46,11,2,1,5,47.259189,-122.434689,8793166,0.255,0.85,60.02,6,27.49,2.75,22.34,2.23,7.9967,5.4188,2.58,6.999480472,36859.87853,36.85987853,0.322633086,0.011944444
123,Salmon Beach,40,11,2,1,5,47.29464,-122.53053,916811,0,0.935,56.34,5.63,30.2,3.02,21.25,2.13,16.972,5.3641,11.61,32.11067979,36156.195,36.156195,0.684067877,0.065058948
124,Salmon Beach,40,11,2,1,5,47.29464,-122.53053,2352491,12.933,0.685,50.89,5.09,22.22,2.22,18.5,1.85,10.6403,3.4388,7.2,34.41789161,20919.3523,20.9193523,0.67667265,0.054598304
125,Salmon Beach,40,11,2,1,3,47.29464,-122.53053,2963755,8.918,0.8,51.9,5.19,23.67,2.37,18.02,1.8,11.0115,3.4542,7.56,34.15084021,22137.08346,22.13708346,0.686554965,0.054077888
126,Salmon Beach,40,11,2,1,3,47.29464,-122.53053,1383018,51.47,1.035,59.3,5.93,22.35,2.24,19.98,2,12.8244,3.9896,8.83,33.34517484,26480.5929,26.4805929,0.688531237,0.042344462
127,Chambers Bay Park,56,13,2,1,3,47.1905742,-122.5834897,4935346,15.598,0.885,56.01,5.6,24.49,2.45,19.35,1.94,13.9772,4.9226,9.05,34.09677094,26542.10282,26.54210282,0.647483044,0.05153289
128,Chambers Bay Park,56,13,2,1,3,47.1905742,-122.5834897,3856796,14.492,1,51.48,5.15,23.58,2.36,17.17,1.72,9.3078,3.7257,5.58,26.77204614,20842.63553,20.84263553,0.599497196,0.040851924
129,Chambers Bay Park,56,13,3,1,5,47.1905742,-122.5834897,4797197,8.659,1.08,59.61,5.96,25.39,2.54,17.98,1.8,14.0031,5.1254,8.88,32.63183194,27212.69224,27.21269224,0.634145296,0.041944419
130,Chambers Bay Park,56,13,3,1,5,47.1905742,-122.5834897,4420012,0,1.26,58.77,5.88,27.32,2.73,21.55,2.16,16.4765,5.7226,10.75,31.06882322,34600.60242,34.60060242,0.65244439,0.052878178
131,Gig Harbor Boat Launch,58,11,3,1,5,47.33785,-122.58277,5823222,5.435,0.89,54.58,5.46,25.56,2.56,21.34,2.13,14.0161,4.8796,9.14,30.70134485,29770.68283,29.77068283,0.65210722,0.056152393
132,Gig Harbor Boat Launch,58,11,3,1,5,47.33785,-122.58277,2932222,9.944,0.845,53.71,5.37,25.97,2.6,18.25,1.83,11.7041,4.1135,7.59,29.81616651,25455.98878,25.45598878,0.6484907,0.049013861
133,Gig Harbor Boat Launch,58,11,2,3,3,47.33785,-122.58277,5726357,14.656,1.025,53.86,5.39,26.87,2.69,17.51,1.75,12.8422,5.3915,7.45,29.39924051,25340.79068,25.34079068,0.580118671,0.047576225
134,Gig Harbor Boat Launch,58,11,2,3,3,47.33785,-122.58277,1906238,0,1.1,55.15,5.52,26.35,2.64,20.68,2.07,14.9748,5.604,9.37,31.17905299,30052.2277,30.0522277,0.625717873,0.055708615
135,Tulalip Bay,67,8.2,2,3,3,48.0617,-122.2939,5545198,20.048,0.875,57.05,5.71,25.16,2.52,19,1.9,13.6626,3.783,9.88,36.22739097,27272.182,27.272182,0.723142008,0.053069943
136,Tulalip Bay,67,8.2,2,3,3,48.0617,-122.2939,3670556,0.135,0.945,55.93,5.59,25.61,2.56,18.64,1.86,12.7114,3.7794,8.93,33.4465366,26699.32647,26.69932647,0.702518999,0.051122965
137,Tulalip Bay,67,8.2,2,3,3,48.0617,-122.2939,7831524,9.075,0.855,58.73,5.87,26.08,2.61,20.78,2.08,15.722,4.2933,11.43,35.91146308,31828.27715,31.82827715,0.727006742,0.056510861
138,Tulalip Bay,67,8.2,2,3,3,48.0617,-122.2939,5606185,0.787,0.835,57.09,5.71,27.59,2.76,21.11,2.11,16.2236,4.5926,11.63,34.97677296,33250.63754,33.25063754,0.716856924,0.062469983
139,Tulalip Bay,67,8.2,2,1,7,48.0617,-122.2939,4974611,6.443,0.735,52.35,5.24,22.25,2.23,17.06,1.71,8.6164,2.7854,5.83,29.33883243,19871.27475,19.87127475,0.676616684,0.04052049
140,Tulalip Bay,67,8.2,2,1,7,48.0617,-122.2939,5640873,1.035,1,57.93,5.79,26.74,2.67,23.36,2.34,17.5084,5.091,12.42,34.32288822,36185.76595,36.18576595,0.709373786,0.063986139
141,Blair Waterway #2,42,11,2,1,7,47.2632444,-122.385731,3885225,26.424,0.745,50.13,5.01,22.49,2.25,17.76,1.78,9.8288,3.3486,6.48,32.36271021,20023.04491,20.02304491,0.659286993,0.0515302
142,Blair Waterway #2,42,11,2,1,7,47.2632444,-122.385731,2469960,12.854,0.97,51.51,5.15,24.26,2.43,20.19,2.02,12.8984,4.96,7.94,31.47036914,25230.08219,25.23008219,0.615580227,0.058129798
143,Blair Waterway #2,42,11,2,1,2,47.2632444,-122.385731,3506452,2.637,0.9,55.25,5.53,25.53,2.55,18.76,1.88,13.3159,4.4603,8.86,33.48249331,26461.5897,26.4615897,0.665369971,0.052391198
144,Blair Waterway #2,42,11,2,1,2,47.2632444,-122.385731,4998033,1.269,0.815,55.21,5.52,22.75,2.28,20.03,2,11.9719,4.1915,7.78,30.92427307,25158.23083,25.15823083,0.649855077,0.046255392
145,Purdy - Dexters,57,13,2,1,2,47.38566,-122.627255,6119860,0,0.805,58.56,5.86,26.46,2.65,18.76,1.88,14.0672,4.5409,9.53,32.78454485,29068.57498,29.06857498,0.677462466,0.047358731
146,Purdy - Dexters,57,13,2,1,2,47.38566,-122.627255,5329851,0,0.88,53.29,5.33,23.38,2.34,19.4,1.94,11.4684,3.8505,7.62,31.52557484,24170.85188,24.17085188,0.664434446,0.05032379
147,Purdy - Dexters,57,13,2,1,7,47.38566,-122.627255,4051273,0,0.96,60.38,6.04,23.89,2.39,19.65,1.97,14.9505,4.825,10.13,35.73860794,28344.69663,28.34469663,0.677569312,0.045972554
148,Purdy - Dexters,57,13,2,1,7,47.38566,-122.627255,3471329,7.036,0.73,61.03,6.1,29.32,2.93,19.31,1.93,17.36,5.2376,12.12,35.07623816,34553.30628,34.55330628,0.698156682,0.05339654
149,Blair Waterway,41,11,2,1,7,47.27568,-122.4173,4422422,0.672,0.89,59.5,5.95,25.3,2.53,21.23,2.12,15.9109,4.4858,11.43,35.76504282,31958.5805,31.9585805,0.718375453,0.054261942
150,Blair Waterway,41,11,2,1,7,47.27568,-122.4173,5411649,6.432,0.68,55.87,5.59,24.7,2.47,20.41,2.04,13.2485,3.5748,9.67,34.332691,28165.57549,28.16557549,0.72989395,0.055359359
151,Blair Waterway,41,11,3,2,3,47.27568,-122.4173,6052641,9.59,1.075,56.61,5.66,26.94,2.69,21.6,2.16,16.1899,5.4163,10.77,32.69423695,32941.58544,32.94158544,0.665229557,0.05939726
152,Blair Waterway,41,11,3,2,3,47.27568,-122.4173,3631858,9.377,0.71,55.46,5.55,31.63,3.16,19.32,1.93,15.5657,4.1077,11.46,33.81414716,33891.14014,33.89114014,0.736234156,0.067035626
153,Madrona Pont,28,10,3,2,3,47.57995505,-122.6786,6373497,8.315,0.71,59.24,5.92,24.46,2.45,20.5,2.05,15.1226,5.0448,10.08,33.93400883,29704.7132,29.7047132,0.666552048,0.04858424
154,Madrona Pont,28,10,3,2,3,47.57995505,-122.6786,6651025,2.069,0.785,53.26,5.33,22.8,2.28,18.3,1.83,10.3545,3.704,6.65,29.92502669,22222.2024,22.2222024,0.642232846,0.043917744
155,Madrona Pont,28,10,3,1,6,47.57995505,-122.6786,3417364,2.369,0.72,53.95,5.4,23.67,2.37,16.94,1.69,10.4821,3.5392,6.94,32.08162496,21632.32071,21.63232071,0.662081072,0.044073566
156,Madrona Pont,28,10,3,1,6,47.57995505,-122.6786,6776918,2.733,1.005,65.4,6.54,27.68,2.77,22.34,2.23,19.3627,6.3652,13,32.14521608,40441.47648,40.44147648,0.671393969,0.046474006
157,"Comm Bay, Milwaukee Waterway",49,11,3,1,6,47.2694,-122.4243,4517486,5.02,0.82,59.4,5.94,26.4,2.64,19.39,1.94,16.3493,5.0622,11.29,37.1300694,30406.6224,30.4066224,0.690549442,0.053868466
158,"Comm Bay, Milwaukee Waterway",49,11,3,1,6,47.2694,-122.4243,15260103,16.268,0.955,55.09,5.51,25.49,2.55,18.91,1.89,13.4352,4.254,9.18,34.57072954,26554.25593,26.55425593,0.683279743,0.054876687
159,"Comm Bay, Milwaukee Waterway",49,11,1,5,3,47.2694,-122.4243,3705987,5.768,0.75,52.65,5.27,23.78,2.38,17.4,1.74,11.9488,3.8426,8.11,37.22728637,21785.0958,21.7850958,0.678729245,0.05541011
160,"Comm Bay, Milwaukee Waterway",49,11,1,5,3,47.2694,-122.4243,8193639,4.93,0.75,53.44,5.34,24.95,2.5,17.52,1.75,11.7051,3.5722,8.13,34.8032214,23359.90656,23.35990656,0.694569034,0.053390843
161,"Comm Bay, Milwaukee Waterway",49,11,1,5,3,47.2694,-122.4243,6366494,-0.636,0.83,53.44,5.34,23.25,2.33,17.47,1.75,12.0381,4.5524,7.49,34.50638837,21706.1256,21.7061256,0.62219121,0.049187873
162,Discovery Bay,12,6,1,5,3,48.064957,-122.857524,5437003,17.512,0.745,59.29,5.93,25.24,2.52,19.01,1.9,14.3437,4.6639,9.68,34.02690429,28448.0772,28.4480772,0.67486074,0.046420656
163,Discovery Bay,12,6,2,2,3,48.064957,-122.857524,5775686,1.485,0.805,55.56,5.56,29.62,2.96,18.94,1.89,15.1766,4.7712,10.41,33.39823095,31169.31557,31.16931557,0.685924384,0.060565646
164,Discovery Bay,12,6,2,2,3,48.064957,-122.857524,1513923,15.957,0.75,55.47,5.55,28.06,2.81,23.17,2.32,17.3204,5.4867,11.83,32.80294821,36063.83159,36.06383159,0.68300963,0.069199952
165,Discovery Bay,12,6,2,2,3,48.064957,-122.857524,3392978,0,0.875,59.27,5.93,28.11,2.81,21.02,2.1,18.0072,5.5914,12.42,35.46444039,35020.99529,35.02099529,0.68972411,0.059560388
166,Kingston Marina,36,10,2,2,3,47.794695,-122.499858,2529572,4.546,0.815,59.01,5.9,24.73,2.47,22.49,2.25,16.8684,5.5323,11.34,34.55205387,32820.04608,32.82004608,0.67226293,0.055214993
167,Kingston Marina,36,10,3,2,4,47.794695,-122.499858,5982158,7.722,0.845,61.09,6.11,27.81,2.78,18.51,1.85,15.6753,5.3841,10.29,32.72184944,31446.87778,31.44687778,0.656446767,0.045111965
168,Kingston Marina,36,10,3,2,4,47.794695,-122.499858,4667834,3.94,0.875,58.22,5.82,26.52,2.65,23.54,2.35,16.2326,6.2651,9.97,27.43108456,36345.62818,36.34562818,0.614196124,0.050573872
169,Kingston Marina,36,10,3,2,4,47.794695,-122.499858,7944848,0.048,0.71,55.81,5.58,23.4,2.34,18.38,1.84,12.041,4.768,7.27,30.2873324,24003.43452,24.00343452,0.603770451,0.041843867
170,Rich Passage,32,10,3,2,4,47.578117,-122.524833,1476511,3.506,0.9,59.07,5.91,27.71,2.77,19.45,1.95,15.6564,4.4256,11.23,35.27415784,31836.33767,31.83633767,0.717278557,0.054402307
171,Rich Passage,32,10,2,4,2,47.578117,-122.524833,4087247,2.631,0.83,52.98,5.3,23.01,2.3,18.6,1.86,11.3603,3.4726,7.89,34.79649388,22674.69828,22.67469828,0.694523912,0.052996769
172,Rich Passage,32,10,2,4,2,47.578117,-122.524833,3101248,0.844,0.745,54.84,5.48,25.64,2.56,20.38,2.04,13.3136,3.6932,9.62,33.5703157,28656.26909,28.65626909,0.722569403,0.058456579
173,Rich Passage,32,10,2,4,2,47.578117,-122.524833,4147207,1.999,0.765,55.07,5.51,24.37,2.44,17.53,1.75,11.5006,3.2727,8.23,34.98221571,23526.23993,23.52623993,0.715614837,0.049197727
174,Filucy Bay,59,13,2,4,2,47.19483,-122.748665,6630611,0,0.795,55.74,5.57,24.77,2.48,15.97,1.6,9.8546,3.9552,5.9,26.75802927,22049.45641,22.04945641,0.598705173,0.034141801
175,Filucy Bay,59,13,1,4,2,47.19483,-122.748665,6728961,2.006,0.815,58.97,5.9,20.21,2.02,20.31,2.03,15.7674,4.8317,10.94,45.19703625,24205.12695,24.20512695,0.69383665,0.053267374
176,Filucy Bay,59,13,1,4,2,47.19483,-122.748665,3656052,19.012,1.055,63.23,6.32,22.09,2.21,21.69,2.17,18.9508,6.2756,12.68,41.85436948,30295.52268,30.29552268,0.669101041,0.05023056
177,Filucy Bay,59,13,1,4,2,47.19483,-122.748665,8044535,0.232,0.76,56.02,5.6,23.73,2.37,18.27,1.83,12.5502,4.4133,8.14,33.51544691,24287.30854,24.28730854,0.648595242,0.04635113
178,Minter Bay,55,13,1,4,2,47.3539722,-122.69175,4961205,3.468,0.95,57.95,5.8,20.3,2.03,20.29,2.03,16.0509,5.9149,10.14,42.4821443,23868.85165,23.86885165,0.631740276,0.05197015
179,Minter Bay,55,13,2,4,5,47.3539722,-122.69175,6536182,2.525,1.095,57.35,5.74,28.27,2.83,19.4,1.94,14.235,5.0862,9.15,29.09109934,31452.9193,31.4529193,0.642781876,0.048382178
180,Minter Bay,55,13,2,4,5,47.3539722,-122.69175,6263391,0,0.825,63.79,6.38,26.26,2.63,22.58,2.26,18.8134,6.3374,12.48,32.99463466,37824.33153,37.82433153,0.663356969,0.048056546
181,Minter Bay,55,13,2,4,5,47.3539722,-122.69175,7066217,1.97,0.8,55.18,5.52,19.72,1.97,19.51,1.95,13.8212,4.6307,9.19,43.28821074,21229.7987,21.2297987,0.664920557,0.054638438
182,West Bay Park,73,13,2,4,5,47.052362,-122.910912,7223931,2.621,0.78,54.67,5.47,25.27,2.53,20.84,2.08,13.8965,4.5572,9.34,32.44104578,28790.68716,28.79068716,0.672111683,0.057066981
183,West Bay Park,73,13,1,4,2,47.052362,-122.910912,4047412,3.572,0.66,57.21,5.72,28.8,2.88,22.8,2.28,17.4702,4.9008,12.57,33.46077496,37566.3744,37.5663744,0.719510939,0.067165645
184,West Bay Park,73,13,1,4,2,47.052362,-122.910912,7647788,5.789,0.845,58.76,5.88,26.24,2.62,21.88,2.19,16.9597,5.1493,11.81,35.00716666,33735.94931,33.73594931,0.696356657,0.058092213
185,West Bay Park,73,13,1,4,2,47.052362,-122.910912,4006818,0,0.805,56.79,5.68,24.55,2.46,18.22,1.82,11.9314,4.0596,7.87,30.98153951,25402.22379,25.40222379,0.65960407,0.042946693
186,Eld Inlet,72,13,1,4,2,47.074603,-123.003527,5090553,10.464,0.63,54.54,5.45,28.09,2.81,20.81,2.08,14.6224,3.9024,10.72,33.62449979,31881.51517,31.88151517,0.733121786,0.066222455
187,Eld Inlet,72,13,1,3,3,47.074603,-123.003527,1226696,35.599,0.62,51.98,5.2,26.68,2.67,17.89,1.79,12.5691,3.9334,8.64,34.82421228,24810.3243,24.8103243,0.687400053,0.061447428
188,Eld Inlet,72,13,1,3,3,47.074603,-123.003527,6522867,14.268,0.835,61.76,6.18,30.82,3.08,23.43,2.34,20.949,5.8743,15.07,33.79099982,44597.67418,44.59767418,0.71936608,0.063848078
189,Eld Inlet,72,13,1,3,3,47.074603,-123.003527,5739407,22.833,0.745,63.84,6.38,29.93,2.99,23.89,2.39,20.7405,5.7561,14.98,32.81678777,45647.36837,45.64736837,0.722258383,0.057683257
190,Tulalip Reservation,70,8.2,1,3,3,48.0697859,-122.2997764,4215635,1.126,0.845,56.37,5.64,27.92,2.79,20.28,2.03,14.5461,4.7537,9.79,30.67264953,31917.68611,31.91768611,0.673032634,0.054568923
191,Tulalip Reservation,70,8.2,2,1,6,48.0697859,-122.2997764,3759846,1.593,0.82,61.83,6.18,26.18,2.62,20.91,2.09,16.6748,5.1061,11.57,34.18302065,33847.21355,33.84721355,0.693861396,0.049019394
192,Tulalip Reservation,70,8.2,2,1,6,48.0697859,-122.2997764,4597377,0,0.83,57.07,5.71,25.37,2.54,18.96,1.9,12.4718,3.8557,8.62,31.40079134,27451.53746,27.45153746,0.691159255,0.046301914
193,Tulalip Reservation,70,8.2,2,1,6,48.0697859,-122.2997764,2521368,10.007,0.64,58.97,5.9,26.45,2.65,18.12,1.81,13.5347,4.0733,9.46,33.47157426,28262.78778,28.26278778,0.698944195,0.046061184
194,Browns Point Lighthouse,54,11,2,1,6,47.30515,-122.44441,2165448,0,0.84,59.19,5.92,25.93,2.59,19.63,1.96,16.1055,5.4875,10.62,35.24953241,30128.05922,30.12805922,0.659402068,0.051186967
195,Browns Point Lighthouse,54,11,1,4,2,47.30515,-122.44441,9793068,1.51,0.8,54.25,5.43,24.56,2.46,19.23,1.92,13.2927,3.715,9.58,37.39022855,25621.6674,25.6216674,0.720696322,0.059836478
196,Browns Point Lighthouse,54,11,1,4,2,47.30515,-122.44441,7655768,2.472,0.82,57.74,5.77,27.12,2.71,20.91,2.09,16.4479,4.7359,11.71,35.76320215,32743.15301,32.74315301,0.71194499,0.060957824
197,Browns Point Lighthouse,54,11,1,4,2,47.30515,-122.44441,9992165,1.531,0.935,60.09,6.01,27.76,2.78,19.32,1.93,17.3342,5.1713,12.16,37.73156223,32227.66109,32.22766109,0.701503386,0.05601575
198,Squaxin Island,38,13,1,4,2,47.17650485,-122.9046464,6350828,0,0.85,55.65,5.57,25.47,2.55,20.93,2.09,14.9453,4.7921,10.15,34.21390934,29666.29712,29.66629712,0.679143276,0.058735471
199,Squaxin Island,38,13,2,4,2,47.17650485,-122.9046464,9006878,16.642,0.955,56.2,5.62,25.49,2.55,18.55,1.86,14.6639,4.9384,9.73,36.61531505,26573.5799,26.5735799,0.663534258,0.054815565
200,Squaxin Island,38,13,2,4,2,47.17650485,-122.9046464,6605220,0,0.925,59.63,5.96,27.71,2.77,21.61,2.16,16.2984,5.4473,10.85,30.38600718,35707.22515,35.70722515,0.665709517,0.051249657
201,Squaxin Island,38,13,2,4,2,47.17650485,-122.9046464,3512019,6.788,0.695,54.05,5.41,22.13,2.21,18.98,1.9,11.9811,3.3612,8.62,37.96941846,22702.48097,22.70248097,0.719466493,0.054439668
202,Maple Hollow Park,51,13,2,4,2,47.30008,-122.74566,5079449,0,0.8,62.6,6.26,25.95,2.6,19.69,1.97,17.2718,4.9079,12.36,38.64213018,31985.8143,31.9858143,0.715617365,0.050384328
203,Maple Hollow Park,51,13,2,2,5,47.30008,-122.74566,4528128,3.694,0.665,52.34,5.23,24.4,2.44,17.36,1.74,10.9043,3.2889,7.62,34.37017203,22170.38656,22.17038656,0.698806893,0.053265978
204,Maple Hollow Park,51,13,2,2,5,47.30008,-122.74566,1311133,0,0.735,58.34,5.83,26.6,2.66,20.33,2.03,15.9279,4.6187,11.31,35.84900984,31548.98852,31.54898852,0.710074774,0.057076448
205,Maple Hollow Park,51,13,2,2,5,47.30008,-122.74566,0,14.787,0.9,59.08,5.91,26.68,2.67,20.34,2.03,16.4467,4.6576,11.79,36.7736336,32061.0145,32.0610145,0.716861133,0.057115155
206,Everett Harbor,66,8.2,2,2,5,47.9726,-122.22977,5318907,0,0.885,54.02,5.4,24.63,2.46,19.3,1.93,13.4805,4.3566,9.12,35.51554943,25678.89318,25.67889318,0.67653277,0.057918
207,Everett Harbor,66,8.2,1,3,8,47.9726,-122.22977,6420811,0,0.865,53.39,5.34,23.39,2.34,17.76,1.78,11.2969,4.2838,7.01,31.60711917,22178.5477,22.1785477,0.620524215,0.046035647
208,Everett Harbor,66,8.2,1,3,8,47.9726,-122.22977,6149521,1.496,0.675,55.04,5.5,23.55,2.36,17.61,1.76,12.0613,3.9915,8.07,35.3545116,22825.94112,22.82594112,0.669082106,0.048504884
209,Everett Harbor,66,8.2,1,3,8,47.9726,-122.22977,3196587,0,0.68,54.89,5.49,24.01,2.4,16.35,1.64,11.1796,3.7395,7.44,34.52786999,21547.81052,21.54781052,0.665497871,0.044963064
210,N Avenue Park,62,7,1,3,8,48.52108,-122.61531,3680347,0.016,0.9,58.83,5.88,24.46,2.45,22.97,2.3,16.713,4.895,11.82,35.7603022,33053.41195,33.05341195,0.70723389,0.058141402
211,N Avenue Park,62,7,1,3,5,48.52108,-122.61531,4764132,0.064,0.79,53.68,5.37,26.07,2.61,18.14,1.81,12.0054,3.6597,8.35,32.89240692,25385.79806,25.38579806,0.695520349,0.053921705
212,N Avenue Park,62,7,1,3,5,48.52108,-122.61531,4827148,5.692,0.89,53.44,5.34,20.27,2.03,20.5,2.05,13.9279,4.5269,9.4,42.33053861,22206.1904,22.2061904,0.674904329,0.061731109
213,N Avenue Park,62,7,1,3,5,48.52108,-122.61531,3461581,0,0.71,60.18,6.02,25.72,2.57,21.41,2.14,16.9313,5.126,11.81,35.63773406,33139.03174,33.13903174,0.697524703,0.054132792
214,Cap Sante,64,7,1,3,5,48.520971,-122.600717,1293754,14.371,0.955,57.43,5.74,25.92,2.59,18.45,1.85,11.2831,4.1148,7.17,26.10651925,27464.40432,27.46440432,0.635463658,0.037912592
215,Cap Sante,64,7,2,4,2,48.520971,-122.600717,4083185,4.895,0.725,53.57,5.36,24.6,2.46,17.72,1.77,11.3933,3.1508,8.24,35.28635026,23351.80584,23.35180584,0.723232075,0.05350974
216,Cap Sante,64,7,2,4,2,48.520971,-122.600717,3480344,133.268,0.6,53.57,5.36,24.6,2.46,17.72,1.77,11.3933,3.1508,8.24,35.28635026,23351.80584,23.35180584,0.723232075,0.05350974
217,Cap Sante,64,7,2,4,2,48.520971,-122.600717,6057021,11.947,0.88,52.36,5.24,22.32,2.23,16.69,1.67,10.5416,3.586,6.96,35.68281224,19505.18909,19.50518909,0.66024133,0.048374376
218,Raft Island Park,53,13,2,4,2,47.32598,-122.66724,6420643,0,0.58,57.42,5.74,25.21,2.52,19.19,1.92,13.7631,3.3912,10.37,37.33083875,27778.64186,27.77864186,0.753463973,0.054833135
219,Raft Island Park,53,13,1,5,2,47.32598,-122.66724,6767449,2.855,0.595,52.94,5.29,24.36,2.44,16.78,1.68,10.5999,3.4075,7.19,33.22582038,21639.79675,21.63979675,0.678308286,0.048569303
220,Raft Island Park,53,13,1,5,6,47.32598,-122.66724,3322946,11.029,0.805,58.28,5.83,25.86,2.59,20.23,2.02,14.2128,3.8237,10.39,34.07780403,30489.05378,30.48905378,0.731031183,0.052433625
221,Raft Island Park,53,13,1,5,6,47.32598,-122.66724,1581168,1.226,0.635,58.52,5.85,26.34,2.63,19.14,1.91,15.0722,4.0037,11.07,37.52196719,29502.71755,29.50271755,0.734464776,0.055294256
222,Friday Harbor,61,7,1,5,6,48.5069444,-123.0194444,2728430,0,0.895,60.9,6.09,24.29,2.43,19.98,2,14.5021,4.5973,9.9,33.49615081,29555.63478,29.55563478,0.682659753,0.043831196
223,Friday Harbor,61,7,1,5,6,48.5069444,-123.0194444,2977245,12.311,0.625,54.03,5.4,23.87,2.39,18.82,1.88,11.6584,3.5165,8.14,33.536474,24272.0806,24.2720806,0.698209017,0.051694356
224,Friday Harbor,61,7,2,2,5,48.5069444,-123.0194444,3660262,2.297,0.735,55.34,5.53,24.11,2.41,17.31,1.73,9.0205,3.9931,5.03,21.77883035,23095.82249,23.09582249,0.557618757,0.029743536
225,Friday Harbor,61,7,2,2,5,48.5069444,-123.0194444,6464229,0,0.845,57.93,5.79,24.75,2.48,19.56,1.96,14.4405,4.0096,10.43,37.19090326,28044.4923,28.0444923,0.722274159,0.053733931
226,Friday Harbor,61,7,2,2,5,48.5069444,-123.0194444,3941050,18.935,0.65,53.84,5.38,22.43,2.24,17.2,1.72,10.9472,3.2471,7.7,37.07045815,20771.25664,20.77125664,0.703376206,0.04944745
227,Edmonds Ferry,69,9,2,2,5,47.81407,-122.3825,6928220,0.818,0.885,54.82,5.48,24.53,2.45,18.88,1.89,13.7023,4.1756,9.53,37.53654804,25388.58925,25.38858925,0.695503675,0.057909688
228,Edmonds Ferry,69,9,2,1,4,47.81407,-122.3825,2077255,0,0.665,57.37,5.74,22.89,2.29,19.44,1.94,13.1934,3.699,9.49,37.17400126,25528.59439,25.52859439,0.719299043,0.050179986
229,Edmonds Ferry,69,9,2,1,4,47.81407,-122.3825,5845804,0,0.82,59.17,5.92,25.11,2.51,20.6,2.06,17.7662,5.257,12.51,40.87349806,30606.62922,30.60662922,0.704146075,0.060296512
230,Edmonds Ferry,69,9,2,1,4,47.81407,-122.3825,3992468,0,0.39,53.43,5.34,23.41,2.34,19.35,1.94,13.248,4.0678,9.18,37.92932587,24202.90841,24.20290841,0.692934783,0.060286339
231,Miller Creek,20,11,2,1,4,47.4436,-122.360316,5994423,0,0.96,61.73,6.17,26.72,2.67,20.26,2.03,18.0963,6.1504,11.95,35.75985371,33417.36266,33.41736266,0.660355984,0.050875936
232,Miller Creek,20,11,1,3,1,47.4436,-122.360316,4130787,1.041,0.745,56.11,5.61,27.53,2.75,20.84,2.08,15.764,4.6284,11.14,34.60517072,32191.72097,32.19172097,0.706673433,0.063095242
233,Miller Creek,20,11,1,3,1,47.4436,-122.360316,5542261,7.704,0.895,60.24,6.02,27.17,2.72,22.22,2.22,16.5219,4.9909,11.53,31.7037512,36367.93618,36.36793618,0.697861626,0.052849372
234,Miller Creek,20,11,1,3,1,47.4436,-122.360316,7321595,7.314,0.685,55.5,5.55,24.19,2.42,20.64,2.06,13.4365,3.7933,9.64,34.78872318,27710.1288,27.7101288,0.71744874,0.056389479
235,Locust Beach,76,7,1,3,1,48.77636877,-122.5378679,1911632,10.204,0.665,55.41,5.54,24.21,2.42,17.03,1.7,9.2545,2.4837,6.77,29.6340549,22845.33798,22.84533798,0.73153601,0.03981616
236,Locust Beach,76,7,1,3,1,48.77636877,-122.5378679,2139153,7.076,0.6,60.76,6.08,26.69,2.67,19.52,1.95,13.8129,3.3086,10.5,33.16982244,31655.27949,31.65527949,0.760158982,0.046717389
237,Locust Beach,76,7,1,3,1,48.77636877,-122.5378679,3303872,2.108,0.745,62.18,6.22,28.13,2.81,19.55,1.96,15.9516,4.6941,11.26,32.92844171,34195.36247,34.19536247,0.705885303,0.046791529
238,Locust Beach,76,7,1,3,1,48.77636877,-122.5378679,2252655,2.218,0.74,61.46,6.15,27.47,2.75,21.09,2.11,17.1125,4.6849,12.43,34.90947629,35606.37776,35.60637776,0.726369613,0.053437457
239,Aiston Preserve,77,7,1,3,1,48.6793778,-122.6300583,5965780,0,0.7,53.9,5.39,22.73,2.27,18.59,1.86,11.6884,3.2826,8.41,36.92567178,22775.48273,22.77548273,0.719516786,0.053706852
240,Aiston Preserve,77,7,3,5,8,48.6793778,-122.6300583,1508156,4.877,0.79,53.49,5.35,23.92,2.39,18.36,1.84,10.833,3.4809,7.35,31.28822233,23491.26749,23.49126749,0.678482415,0.047998315
241,Aiston Preserve,77,7,3,5,8,48.6793778,-122.6300583,4674882,8.871,0.825,55.99,5.6,27.79,2.78,19.57,1.96,14.7041,4.7251,9.98,32.77484914,30450.1783,30.4501783,0.678722261,0.056828535
242,Aiston Preserve,77,7,3,5,8,48.6793778,-122.6300583,2861653,0.01,0.93,58.55,5.86,28.38,2.84,19.55,1.96,14.6121,4.4461,10.17,31.30652765,32485.23795,32.48523795,0.695998522,0.05053917
