sample_id,latitude,longitude,site_name,site_number,reporting_area,p450,sod,shell,ci1,ci2,ci3,weight_initial_g,weight_final_mm_g,weight_change_g,length_mm,length_cm,width_mm,width_cm,height_mm,height_cm
154,47.57995505,-122.6786,Madrona Pont,28,10,6650990,4.664,0.785,0.030,0.642,0.044,10.355,3.704,6.651,53.26,5.326,22.80,2.280,18.30,1.830
155,47.57995505,-122.6786,Madrona Pont,28,10,3417932,2.369,0.720,0.032,0.662,0.044,10.482,3.539,6.943,53.95,5.395,23.67,2.367,16.94,1.694
156,47.57995505,-122.6786,Madrona Pont,28,10,6111407,2.733,1.005,0.032,0.671,0.046,19.363,6.365,12.998,65.40,6.540,27.68,2.768,22.34,2.234
157,47.2694,-122.4243,"Comm Bay, Milwaukee Waterway",49,11,4263664,5.020,0.820,0.037,0.690,0.054,16.349,5.062,11.287,59.40,5.940,26.40,2.640,19.39,1.939
158,47.2694,-122.4243,"Comm Bay, Milwaukee Waterway",49,11,13167667,16.268,0.955,0.035,0.683,0.055,13.435,4.254,9.181,55.09,5.509,25.49,2.549,18.91,1.891
159,47.2694,-122.4243,"Comm Bay, Milwaukee Waterway",49,11,3461399,5.768,0.750,0.037,0.678,0.056,11.949,3.843,8.106,52.65,5.265,23.78,2.378,17.40,1.740
160,47.2694,-122.4243,"Comm Bay, Milwaukee Waterway",49,11,8190625,13.784,0.750,0.035,0.695,0.053,11.705,3.572,8.133,53.44,5.344,24.95,2.495,17.52,1.752
161,47.2694,-122.4243,"Comm Bay, Milwaukee Waterway",49,11,7886778,-0.636,0.830,0.034,0.622,0.049,12.038,4.552,7.486,53.44,5.344,23.25,2.325,17.47,1.747
162,48.064957,-122.857524,Discovery Bay,12,6,5436068,17.512,0.745,0.034,0.675,0.046,14.344,4.664,9.680,59.29,5.929,25.24,2.524,19.01,1.901
163,48.064957,-122.857524,Discovery Bay,12,6,5773098,1.485,0.805,0.033,0.686,0.061,15.177,4.771,10.405,55.56,5.556,29.62,2.962,18.94,1.894
164,48.064957,-122.857524,Discovery Bay,12,6,1513621,15.957,0.750,0.033,0.683,0.069,17.320,5.487,11.834,55.47,5.547,28.06,2.806,23.17,2.317
165,48.064957,-122.857524,Discovery Bay,12,6,3207158,2.376,0.875,0.035,0.689,0.060,18.007,5.591,12.416,59.27,5.927,28.11,2.811,21.02,2.102
166,47.794695,-122.499858,Kingston Marina,36,10,2382760,4.546,0.815,0.035,0.672,0.055,16.868,5.532,11.336,59.01,5.901,24.73,2.473,22.49,2.249
167,47.794695,-122.499858,Kingston Marina,36,10,7415597,7.722,0.845,0.033,0.657,0.045,15.675,5.384,10.291,61.09,6.109,27.81,2.781,18.51,1.851
168,47.794695,-122.499858,Kingston Marina,36,10,4668354,3.940,0.875,0.027,0.614,0.051,16.233,6.265,9.968,58.22,5.822,26.52,2.652,23.54,2.354
169,47.794695,-122.499858,Kingston Marina,36,10,7376508,1.276,0.710,0.030,0.604,0.042,12.041,4.768,7.273,55.81,5.581,23.40,2.340,18.38,1.838
170,47.578117,-122.524833,Rich Passage,32,10,1476766,3.506,0.900,0.035,0.717,0.054,15.656,4.426,11.231,59.07,5.907,27.71,2.771,19.45,1.945
171,47.578117,-122.524833,Rich Passage,32,10,11738656,2.631,0.830,0.035,0.694,0.053,11.360,3.473,7.888,52.98,5.298,23.01,2.301,18.60,1.860
172,47.578117,-122.524833,Rich Passage,32,10,2880897,1.143,0.745,0.034,0.723,0.058,13.314,3.693,9.620,54.84,5.484,25.64,2.564,20.38,2.038
173,47.578117,-122.524833,Rich Passage,32,10,4148180,1.999,0.765,0.035,0.715,0.049,11.501,3.273,8.228,55.07,5.507,24.37,2.437,17.53,1.753
174,47.19483,-122.748665,Filucy Bay,59,13,12472188,6.866,0.795,0.027,0.599,0.034,9.855,3.955,5.899,55.74,5.574,24.77,2.477,15.97,1.597
175,47.19483,-122.748665,Filucy Bay,59,13,6726341,2.006,0.815,0.045,0.694,0.053,15.767,4.832,10.936,58.97,5.897,20.21,2.021,20.31,2.031
176,47.19483,-122.748665,Filucy Bay,59,13,13491947,10.585,1.055,0.042,0.669,0.050,18.951,6.276,12.675,63.23,6.323,22.09,2.209,21.69,2.169
177,47.19483,-122.748665,Filucy Bay,59,13,10820612,0.579,0.760,0.034,0.648,0.046,12.550,4.413,8.137,56.02,5.602,23.73,2.373,18.27,1.827
178,47.3539722,-122.69175,Minter Bay,55,13,5146723,8.582,0.950,0.042,0.631,0.052,16.051,5.915,10.136,57.95,5.795,20.30,2.030,20.29,2.029
179,47.3539722,-122.69175,Minter Bay,55,13,6537218,5.088,1.095,0.029,0.643,0.049,14.235,5.086,9.149,57.35,5.735,28.27,2.827,19.40,1.940
180,47.3539722,-122.69175,Minter Bay,55,13,11216182,2.002,0.825,0.033,0.663,0.048,18.813,6.337,12.476,63.79,6.379,26.26,2.626,22.58,2.258
181,47.3539722,-122.69175,Minter Bay,55,13,9219025,4.367,0.800,0.043,0.665,0.055,13.821,4.631,9.191,55.18,5.518,19.72,1.972,19.51,1.951
182,47.052362,-122.910912,West Bay Park,73,13,10107487,2.621,0.780,0.032,0.672,0.057,13.897,4.557,9.339,54.67,5.467,25.27,2.527,20.84,2.084
183,47.052362,-122.910912,West Bay Park,73,13,4200104,9.357,0.660,0.033,0.719,0.067,17.470,4.901,12.569,57.21,5.721,28.80,2.880,22.80,2.280
184,47.052362,-122.910912,West Bay Park,73,13,15718988,5.789,0.845,0.035,0.696,0.058,16.960,5.149,11.810,58.76,5.876,26.24,2.624,21.88,2.188
185,47.052362,-122.910912,West Bay Park,73,13,4006827,0.745,0.805,0.031,0.660,0.043,11.931,4.060,7.872,56.79,5.679,24.55,2.455,18.22,1.822
186,47.074603,-123.003527,Eld Inlet,72,13,5090881,10.975,0.630,0.034,0.733,0.066,14.622,3.902,10.720,54.54,5.454,28.09,2.809,20.81,2.081
187,47.074603,-123.003527,Eld Inlet,72,13,1009809,12.540,0.620,0.035,0.687,0.061,12.569,3.933,8.636,51.98,5.198,26.68,2.668,17.89,1.789
188,47.074603,-123.003527,Eld Inlet,72,13,16612698,7.040,0.835,0.034,0.720,0.064,20.949,5.874,15.075,61.76,6.176,30.82,3.082,23.43,2.343
189,47.074603,-123.003527,Eld Inlet,72,13,16495985,8.890,0.745,0.033,0.722,0.058,20.741,5.756,14.984,63.84,6.384,29.93,2.993,23.89,2.389
190,48.0697859,-122.2997764,Tulalip Reservation,70,8.2,9509258,2.633,0.845,0.031,0.673,0.055,14.546,4.754,9.792,56.37,5.637,27.92,2.792,20.28,2.028
191,48.0697859,-122.2997764,Tulalip Reservation,70,8.2,3760566,3.166,0.820,0.034,0.694,0.049,16.675,5.106,11.569,61.83,6.183,26.18,2.618,20.91,2.091
192,48.0697859,-122.2997764,Tulalip Reservation,70,8.2,4598260,-0.873,0.830,0.031,0.691,0.046,12.472,3.856,8.616,57.07,5.707,25.37,2.537,18.96,1.896
193,48.0697859,-122.2997764,Tulalip Reservation,70,8.2,2520935,10.007,0.640,0.033,0.699,0.046,13.535,4.073,9.461,58.97,5.897,26.45,2.645,18.12,1.812
194,47.30515,-122.44441,Browns Point Lighthouse,54,11,1869821,3.733,0.840,0.035,0.659,0.051,16.106,5.488,10.618,59.19,5.919,25.93,2.593,19.63,1.963
195,47.30515,-122.44441,Browns Point Lighthouse,54,11,10377436,1.510,0.800,0.037,0.721,0.060,13.293,3.715,9.578,54.25,5.425,24.56,2.456,19.23,1.923
196,47.30515,-122.44441,Browns Point Lighthouse,54,11,9951688,2.472,0.820,0.036,0.712,0.061,16.448,4.736,11.712,57.74,5.774,27.12,2.712,20.91,2.091
197,47.30515,-122.44441,Browns Point Lighthouse,54,11,9992062,1.531,0.935,0.038,0.702,0.056,17.334,5.171,12.163,60.09,6.009,27.76,2.776,19.32,1.932
198,47.17650485,-122.9046464,Squaxin Island,38,13,9659247,2.864,0.850,0.034,0.679,0.059,14.945,4.792,10.153,55.65,5.565,25.47,2.547,20.93,2.093
199,47.17650485,-122.9046464,Squaxin Island,38,13,5609584,16.642,0.955,0.037,0.663,0.055,14.664,4.938,9.726,56.20,5.620,25.49,2.549,18.55,1.855
200,47.17650485,-122.9046464,Squaxin Island,38,13,6607122,-2.758,0.925,0.030,0.666,0.051,16.298,5.447,10.851,59.63,5.963,27.71,2.771,21.61,2.161
201,47.17650485,-122.9046464,Squaxin Island,38,13,2867682,6.788,0.695,0.038,0.719,0.055,11.981,3.361,8.620,54.05,5.405,22.13,2.213,18.98,1.898
202,47.30008,-122.74566,Maple Hollow Park,51,13,5080836,-4.055,0.800,0.039,0.716,0.050,17.272,4.908,12.364,62.60,6.260,25.95,2.595,19.69,1.969
203,47.30008,-122.74566,Maple Hollow Park,51,13,34233996,3.694,0.665,0.034,0.698,0.053,10.904,3.289,7.615,52.34,5.234,24.40,2.440,17.36,1.736
204,47.30008,-122.74566,Maple Hollow Park,51,13,1210309,-4.118,0.735,0.036,0.710,0.057,15.928,4.619,11.309,58.34,5.834,26.60,2.660,20.33,2.033
205,47.30008,-122.74566,Maple Hollow Park,51,13,NA,14.787,0.900,0.037,0.717,0.057,16.447,4.658,11.789,59.08,5.908,26.68,2.668,20.34,2.034
206,47.9726,-122.22977,Everett Harbor,66,8.2,8135083,-3.800,0.885,0.036,0.677,0.058,13.481,4.357,9.124,54.02,5.402,24.63,2.463,19.30,1.930
207,47.9726,-122.22977,Everett Harbor,66,8.2,6115910,5.493,0.865,0.032,0.621,0.046,11.297,4.284,7.013,53.39,5.339,23.39,2.339,17.76,1.776
208,47.9726,-122.22977,Everett Harbor,66,8.2,5808287,3.773,0.675,0.035,0.669,0.048,12.061,3.992,8.070,55.04,5.504,23.55,2.355,17.61,1.761
209,47.9726,-122.22977,Everett Harbor,66,8.2,3196291,-0.305,0.680,0.035,0.666,0.045,11.180,3.740,7.440,54.89,5.489,24.01,2.401,16.35,1.635
210,48.52108,-122.61531,N Avenue Park,62,7,3680656,0.027,0.900,0.036,0.707,0.058,16.713,4.895,11.818,58.83,5.883,24.46,2.446,22.97,2.297
211,48.52108,-122.61531,N Avenue Park,62,7,8637809,0.064,0.790,0.033,0.695,0.054,12.005,3.660,8.346,53.68,5.368,26.07,2.607,18.14,1.814
212,48.52108,-122.61531,N Avenue Park,62,7,5167150,5.692,0.890,0.042,0.675,0.062,13.928,4.527,9.401,53.44,5.344,20.27,2.027,20.50,2.050
213,48.52108,-122.61531,N Avenue Park,62,7,9574142,-3.015,0.710,0.036,0.697,0.054,16.931,5.126,11.805,60.18,6.018,25.72,2.572,21.41,2.141
214,48.520971,-122.600717,Cap Sante,64,7,1293401,14.371,0.955,0.026,0.635,0.038,11.283,4.115,7.168,57.43,5.743,25.92,2.592,18.45,1.845
215,48.520971,-122.600717,Cap Sante,64,7,4081903,4.895,0.725,0.035,0.723,0.054,11.393,3.151,8.243,53.57,5.357,24.60,2.460,17.72,1.772
216,48.520971,-122.600717,Cap Sante,64,7,1544138,42.805,0.600,0.035,0.723,0.054,11.393,3.151,8.243,53.57,5.357,24.60,2.460,17.72,1.772
217,48.520971,-122.600717,Cap Sante,64,7,11524795,11.947,0.880,0.036,0.660,0.048,10.542,3.586,6.956,52.36,5.236,22.32,2.232,16.69,1.669
218,47.32598,-122.66724,Raft Island Park,53,13,6066971,-2.939,0.580,0.037,0.754,0.055,13.763,3.391,10.372,57.42,5.742,25.21,2.521,19.19,1.919
219,47.32598,-122.66724,Raft Island Park,53,13,6061146,2.855,0.595,0.033,0.679,0.048,10.600,3.408,7.192,52.94,5.294,24.36,2.436,16.78,1.678
220,47.32598,-122.66724,Raft Island Park,53,13,3033147,11.029,0.805,0.034,0.731,0.052,14.213,3.824,10.389,58.28,5.828,25.86,2.586,20.23,2.023
221,47.32598,-122.66724,Raft Island Park,53,13,1581059,1.226,0.635,0.038,0.734,0.055,15.072,4.004,11.069,58.52,5.852,26.34,2.634,19.14,1.914
222,48.5069444,-123.0194444,Friday Harbor,61,7,6899779,-2.928,0.895,0.034,0.683,0.044,14.502,4.597,9.905,60.90,6.090,24.29,2.429,19.98,1.998
223,48.5069444,-123.0194444,Friday Harbor,61,7,4285885,12.311,0.625,0.034,0.698,0.052,11.658,3.517,8.142,54.03,5.403,23.87,2.387,18.82,1.882
224,48.5069444,-123.0194444,Friday Harbor,61,7,3660475,2.297,0.735,0.022,0.557,0.030,9.021,3.993,5.027,55.34,5.534,24.11,2.411,17.31,1.731
225,48.5069444,-123.0194444,Friday Harbor,61,7,6465687,-4.878,0.845,0.037,0.722,0.054,14.441,4.010,10.431,57.93,5.793,24.75,2.475,19.56,1.956
226,48.5069444,-123.0194444,Friday Harbor,61,7,5908857,18.935,0.650,0.037,0.703,0.049,10.947,3.247,7.700,53.84,5.384,22.43,2.243,17.20,1.720
227,47.81407,-122.3825,Edmonds Ferry,69,9,16349554,0.818,0.885,0.038,0.695,0.058,13.702,4.176,9.527,54.82,5.482,24.53,2.453,18.88,1.888
228,47.81407,-122.3825,Edmonds Ferry,69,9,7086401,-4.249,0.665,0.037,0.720,0.050,13.193,3.699,9.494,57.37,5.737,22.89,2.289,19.44,1.944
229,47.81407,-122.3825,Edmonds Ferry,69,9,5844280,-2.435,0.820,0.041,0.704,0.060,17.766,5.257,12.509,59.17,5.917,25.11,2.511,20.60,2.060
230,47.81407,-122.3825,Edmonds Ferry,69,9,3776740,-4.327,0.390,0.038,0.693,0.060,13.248,4.068,9.180,53.43,5.343,23.41,2.341,19.35,1.935
231,47.4436,-122.360316,Miller Creek,20,11,5993436,-1.533,0.960,0.036,0.660,0.051,18.096,6.150,11.946,61.73,6.173,26.72,2.672,20.26,2.026
232,47.4436,-122.360316,Miller Creek,20,11,30697270,1.041,0.745,0.035,0.706,0.063,15.764,4.628,11.136,56.11,5.611,27.53,2.753,20.84,2.084
233,47.4436,-122.360316,Miller Creek,20,11,8815609,7.704,0.895,0.032,0.698,0.053,16.522,4.991,11.531,60.24,6.024,27.17,2.717,22.22,2.222
234,47.4436,-122.360316,Miller Creek,20,11,18090511,7.314,0.685,0.035,0.718,0.056,13.437,3.793,9.643,55.50,5.550,24.19,2.419,20.64,2.064
235,48.77636877,-122.5378679,Locust Beach,76,7,1911451,10.204,0.665,0.030,0.732,0.040,9.255,2.484,6.771,55.41,5.541,24.21,2.421,17.03,1.703
236,48.77636877,-122.5378679,Locust Beach,76,7,2007311,7.076,0.600,0.033,0.760,0.047,13.813,3.309,10.504,60.76,6.076,26.69,2.669,19.52,1.952
237,48.77636877,-122.5378679,Locust Beach,76,7,3303876,3.414,0.745,0.033,0.706,0.047,15.952,4.694,11.258,62.18,6.218,28.13,2.813,19.55,1.955
238,48.77636877,-122.5378679,Locust Beach,76,7,2252563,3.907,0.740,0.035,0.726,0.054,17.113,4.685,12.428,61.46,6.146,27.47,2.747,21.09,2.109
239,48.6793778,-122.6300583,Aiston Preserve,77,7,9716178,-0.232,0.700,0.037,0.719,0.054,11.688,3.283,8.406,53.90,5.390,22.73,2.273,18.59,1.859
240,48.6793778,-122.6300583,Aiston Preserve,77,7,1358797,4.877,0.790,0.031,0.679,0.048,10.833,3.481,7.352,53.49,5.349,23.92,2.392,18.36,1.836
241,48.6793778,-122.6300583,Aiston Preserve,77,7,4914880,8.871,0.825,0.033,0.679,0.057,14.704,4.725,9.979,55.99,5.599,27.79,2.779,19.57,1.957
242,48.6793778,-122.6300583,Aiston Preserve,77,7,2861586,0.010,0.930,0.031,0.696,0.051,14.612,4.446,10.166,58.55,5.855,28.38,2.838,19.55,1.955
243,48.12823,-123.45715,Port Angeles Yacht Club,1,6,5418303,14.895,0.545,3.129,0.797,3.638,52.920,10.761,42.159,22.63,2.263,16.92,1.692,3.52,0.352
244,48.12823,-123.45715,Port Angeles Yacht Club,1,6,6195514,3.323,0.640,1.956,0.758,2.501,53.630,12.978,40.652,25.33,2.533,25.30,2.530,3.24,0.324
245,48.12823,-123.45715,Port Angeles Yacht Club,1,6,4874821,24.332,0.890,1.252,0.714,2.442,56.440,16.143,40.297,25.46,2.546,22.06,2.206,5.73,0.573
246,48.12823,-123.45715,Port Angeles Yacht Club,1,6,2729240,-0.060,0.920,2.012,0.759,2.996,49.570,11.922,37.648,23.25,2.325,19.40,1.940,4.15,0.415
247,48.12823,-123.45715,Port Angeles Yacht Club,1,6,12351982,3.679,0.990,1.055,0.662,2.156,61.030,20.625,40.405,26.56,2.656,22.90,2.290,6.30,0.630
248,48.12823,-123.45715,Port Angeles Yacht Club,1,6,2439233,1.758,0.820,1.541,0.716,2.019,58.990,16.729,42.262,27.56,2.756,21.03,2.103,4.73,0.473
249,47.30973,-122.68868,Kopachuck State Park,52,13,7962917,4.823,0.860,1.563,0.719,2.368,56.770,15.956,40.814,25.83,2.583,19.91,1.991,5.08,0.508
250,47.30973,-122.68868,Kopachuck State Park,52,13,9304020,4.095,0.770,0.035,0.667,0.054,13.280,4.418,8.862,54.74,5.474,24.00,2.400,19.33,1.933
251,47.30973,-122.68868,Kopachuck State Park,52,13,2452740,9.210,0.690,0.034,0.694,0.047,11.086,3.390,7.696,54.71,5.471,24.03,2.403,17.15,1.715
252,47.66586,-122.56698,Williams Olson Park,26,10,5178290,-0.261,0.575,0.036,0.726,0.051,15.695,4.295,11.400,60.77,6.077,26.83,2.683,19.31,1.931
253,47.30973,-122.68868,Kopachuck State Park,52,13,8335262,0.775,0.790,0.014,0.678,0.056,20.305,6.542,13.764,62.51,6.251,42.76,4.276,37.08,3.708
254,47.66586,-122.56698,Williams Olson Park,26,10,1570656,3.468,0.615,0.034,0.713,0.057,15.422,4.432,10.990,57.80,5.780,26.13,2.613,21.34,2.134
255,47.66586,-122.56698,Williams Olson Park,26,10,1267046,5.287,0.785,0.032,0.652,0.047,11.539,4.013,7.527,54.26,5.426,24.95,2.495,17.55,1.755
256,47.66586,-122.56698,Williams Olson Park,26,10,4252322,17.073,0.710,0.034,0.659,0.050,10.175,3.469,6.705,51.08,5.108,23.38,2.338,16.58,1.658
257,47.66142,-122.49884,Skiff Point,24,10,12721940,4.066,0.490,0.032,0.730,0.053,16.155,4.365,11.790,60.75,6.075,27.57,2.757,22.02,2.202
258,47.66142,-122.49884,Skiff Point,24,10,2870483,3.933,0.620,0.033,0.708,0.053,15.716,4.581,11.135,59.33,5.933,27.40,2.740,20.72,2.072
259,47.66142,-122.49884,Skiff Point,24,10,5003819,1.755,0.590,0.034,0.716,0.056,13.484,3.830,9.654,55.70,5.570,24.87,2.487,20.23,2.023
260,47.66142,-122.49884,Skiff Point,24,10,1852789,9.362,0.535,0.035,0.675,0.050,11.933,3.878,8.055,54.32,5.432,22.81,2.281,18.62,1.862
261,47.55622,-122.54281,"Manchester, Stormwater Outfall",33,10,12587430,5.031,0.610,0.036,0.741,0.065,17.484,4.523,12.961,58.34,5.834,29.54,2.954,21.15,2.115
262,47.55622,-122.54281,"Manchester, Stormwater Outfall",33,10,11029903,3.682,0.570,0.032,0.744,0.058,15.634,4.008,11.626,58.44,5.844,27.29,2.729,22.70,2.270
263,47.55622,-122.54281,"Manchester, Stormwater Outfall",33,10,4659442,4.915,0.600,0.035,0.749,0.064,13.267,3.331,9.936,53.80,5.380,25.76,2.576,20.76,2.076
264,47.55622,-122.54281,"Manchester, Stormwater Outfall",33,10,2585048,-2.457,0.645,0.034,0.689,0.061,15.381,4.789,10.592,55.90,5.590,26.43,2.643,20.79,2.079
265,47.33775,-122.59014,Donkey Creek Delta,44,11,4434123,0.189,0.755,0.037,0.728,0.052,15.352,4.179,11.173,59.88,5.988,27.12,2.712,18.71,1.871
266,47.33775,-122.59014,Donkey Creek Delta,44,11,2345306,-0.369,0.635,0.032,0.706,0.047,14.256,4.194,10.062,59.63,5.963,28.69,2.869,18.32,1.832
267,47.33775,-122.59014,Donkey Creek Delta,44,11,1872905,6.206,0.695,0.033,0.725,0.055,14.335,3.937,10.399,57.29,5.729,27.75,2.775,20.12,2.012
268,47.33775,-122.59014,Donkey Creek Delta,44,11,NA,3.605,0.850,0.037,0.688,0.054,15.751,4.920,10.831,58.67,5.867,24.66,2.466,20.37,2.037
269,47.78184,-122.83474,Broad Spit (Fisherman's Point),30,12,1266434,0.896,0.645,0.032,0.717,0.036,9.702,2.746,6.957,57.72,5.772,23.12,2.312,16.22,1.622
270,47.78184,-122.83474,Broad Spit (Fisherman's Point),30,12,1677283,10.875,0.560,0.033,0.694,0.050,14.668,4.493,10.176,58.66,5.866,25.72,2.572,20.69,2.069
271,47.78184,-122.83474,Broad Spit (Fisherman's Point),30,12,4814194,7.416,0.790,0.038,0.702,0.059,15.907,4.744,11.163,57.54,5.754,25.12,2.512,20.21,2.021
272,47.78184,-122.83474,Broad Spit (Fisherman's Point),30,12,1386295,9.277,0.660,0.034,0.728,0.063,16.227,4.416,11.811,57.23,5.723,29.54,2.954,20.59,2.059
273,47.346537,-122.82236,Reach Island,39,13,7180438,7.636,0.655,0.030,0.643,0.053,11.315,4.035,7.280,51.47,5.147,25.12,2.512,18.69,1.869
274,47.346537,-122.82236,Reach Island,39,13,7550633,0.367,0.850,0.034,0.700,0.057,19.066,5.711,13.355,61.54,6.154,28.17,2.817,22.95,2.295
275,47.346537,-122.82236,Reach Island,39,13,1944973,0.028,0.765,0.034,0.670,0.057,13.000,4.294,8.706,53.40,5.340,23.74,2.374,20.07,2.007
276,47.346537,-122.82236,Reach Island,39,13,6208336,10.304,0.810,0.031,0.653,0.049,13.152,4.562,8.590,56.07,5.607,24.94,2.494,19.65,1.965
277,47.44896,-122.372267,Three Tree Point,22,11,8438404,9.208,0.730,0.034,0.742,0.059,14.346,3.699,10.647,56.66,5.666,25.69,2.569,21.35,2.135
278,47.44896,-122.372267,Three Tree Point,22,11,9704455,8.998,0.765,0.036,0.723,0.058,18.699,5.187,13.512,61.52,6.152,27.04,2.704,22.60,2.260
279,47.44896,-122.372267,Three Tree Point,22,11,10493027,9.760,0.955,0.034,0.717,0.061,17.140,4.853,12.287,58.67,5.867,27.77,2.777,21.93,2.193
280,47.44896,-122.372267,Three Tree Point,22,11,2838173,3.697,0.800,0.035,0.724,0.064,17.388,4.791,12.597,58.17,5.817,29.72,2.972,20.99,2.099
281,47.50161,-122.38593,Arroyo Beach,13,11,3284819,7.084,0.920,0.035,0.701,0.055,15.476,4.622,10.854,58.14,5.814,26.11,2.611,20.16,2.016
282,47.50161,-122.38593,Arroyo Beach,13,11,6484263,0.635,0.965,0.032,0.660,0.054,17.950,6.107,11.844,60.43,6.043,27.56,2.756,22.30,2.230
283,47.50161,-122.38593,Arroyo Beach,13,11,8681720,11.884,0.860,0.031,0.645,0.061,16.874,5.993,10.881,56.18,5.618,28.43,2.843,22.12,2.212
284,47.50161,-122.38593,Arroyo Beach,13,11,1813468,6.100,0.955,0.034,0.675,0.058,17.682,5.752,11.930,59.16,5.916,27.66,2.766,21.17,2.117
285,47.50161,-122.38593,Arroyo Beach,13,11,1987287,15.285,0.875,0.025,0.600,0.034,10.974,4.395,6.579,57.94,5.794,24.68,2.468,18.62,1.862
286,47.50161,-122.38593,Arroyo Beach,13,11,6254099,0.000,0.645,0.035,0.714,0.053,12.661,3.616,9.045,55.53,5.553,25.77,2.577,18.30,1.830
287,47.6663,-122.4018,"Salmon Bay, Commodore Park",16,10,5250262,5.874,0.670,0.033,0.743,0.058,16.368,4.201,12.167,59.33,5.933,28.83,2.883,21.35,2.135
288,47.6663,-122.4018,"Salmon Bay, Commodore Park",16,10,6062837,4.592,0.795,0.034,0.705,0.062,14.959,4.410,10.549,55.44,5.544,26.94,2.694,20.59,2.059
289,47.6663,-122.4018,"Salmon Bay, Commodore Park",16,10,1817199,1.330,0.725,0.035,0.690,0.054,15.863,4.923,10.940,58.86,5.886,27.03,2.703,19.53,1.953
290,47.6663,-122.4018,"Salmon Bay, Commodore Park",16,10,4648412,3.381,0.640,0.035,0.735,0.055,14.878,3.942,10.936,58.40,5.840,26.07,2.607,20.66,2.066
291,47.671678,-122.406663,Shilshole Bay,18,10,3787448,0.854,0.560,0.037,0.750,0.051,10.956,2.743,8.213,54.43,5.443,22.79,2.279,17.91,1.791
292,47.671678,-122.406663,Shilshole Bay,18,10,2701769,1.541,0.575,0.031,0.681,0.050,9.482,3.022,6.460,50.46,5.046,23.11,2.311,17.64,1.764
293,47.671678,-122.406663,Shilshole Bay,18,10,1902525,12.831,0.515,0.029,0.727,0.053,11.375,3.106,8.269,53.74,5.374,25.66,2.566,20.73,2.073
294,47.671678,-122.406663,Shilshole Bay,18,10,2449213,24.401,0.575,0.032,0.756,0.058,12.490,3.042,9.448,54.71,5.471,27.79,2.779,19.50,1.950
295,47.60255,-122.66992,Rocky Point,27,10,25070825,15.435,0.695,0.034,0.705,0.065,12.712,3.752,8.960,51.60,5.160,25.56,2.556,20.22,2.022
296,47.60255,-122.66992,Rocky Point,27,10,1980531,7.396,0.595,0.034,0.711,0.062,12.272,3.544,8.728,51.99,5.199,24.36,2.436,20.41,2.041
297,47.60255,-122.66992,Rocky Point,27,10,7956123,14.146,0.745,0.033,0.706,0.059,15.367,4.525,10.842,56.77,5.677,26.62,2.662,22.01,2.201
298,47.60255,-122.66992,Rocky Point,27,10,2871726,2.605,0.720,0.035,0.735,0.060,13.406,3.557,9.848,54.64,5.464,26.28,2.628,19.35,1.935
299,47.5833538,-122.6414587,Lions Park,37,10,8242277,6.100,0.660,0.025,0.731,0.059,13.578,3.657,9.921,55.20,5.520,26.96,2.696,26.59,2.659
300,47.5833538,-122.6414587,Lions Park,37,10,8603570,13.891,0.750,0.022,0.642,0.050,11.971,4.282,7.690,53.60,5.360,25.25,2.525,25.38,2.538
301,47.5833538,-122.6414587,Lions Park,37,10,2556547,7.869,0.805,0.032,0.647,0.048,10.093,3.561,6.532,51.59,5.159,22.30,2.230,17.55,1.755
302,47.5833538,-122.6414587,Lions Park,37,10,6090272,13.836,0.785,0.031,0.692,0.058,10.210,3.144,7.066,49.66,4.966,25.63,2.563,18.04,1.804
303,48.255358,-122.507014,North Camano,7,8.1,8854710,-4.615,0.745,0.033,0.694,0.051,16.274,4.980,11.293,60.39,6.039,28.48,2.848,19.99,1.999
304,48.255358,-122.507014,North Camano,7,8.1,32449887,0.564,0.725,0.033,0.728,0.058,15.134,4.114,11.020,57.53,5.753,26.64,2.664,21.75,2.175
305,48.255358,-122.507014,North Camano,7,8.1,5141533,2.438,0.855,0.032,0.692,0.051,16.980,5.237,11.743,61.37,6.137,26.95,2.695,21.90,2.190
306,48.255358,-122.507014,North Camano,7,8.1,3249106,-1.431,0.745,0.031,0.693,0.049,11.732,3.606,8.126,54.79,5.479,25.89,2.589,18.22,1.822
307,48.018127,-122.699524,Maristone Island,11,9,2150183,12.992,0.610,0.036,0.777,0.055,14.060,3.140,10.920,58.25,5.825,26.14,2.614,19.82,1.982
308,48.018127,-122.699524,Maristone Island,11,9,5028929,5.332,0.705,0.031,0.716,0.056,13.602,3.857,9.746,55.90,5.590,26.98,2.698,20.62,2.062
309,48.018127,-122.699524,Maristone Island,11,9,5113635,0.263,0.900,0.033,0.667,0.054,15.376,5.127,10.248,57.35,5.735,27.49,2.749,19.82,1.982
310,48.018127,-122.699524,Maristone Island,11,9,11969754,4.949,0.695,0.031,0.666,0.052,10.435,3.480,6.955,51.19,5.119,24.82,2.482,17.80,1.780
311,48.018127,-122.699524,Maristone Island,11,9,1925814,8.388,0.610,0.037,0.767,0.053,17.519,4.074,13.445,63.50,6.350,28.27,2.827,20.35,2.035
312,48.018127,-122.699524,Maristone Island,11,9,2078575,2.408,0.675,0.034,0.760,0.064,19.393,4.662,14.731,61.24,6.124,29.73,2.973,23.76,2.376
