latitude,longitude,site_name,site_number,sample,p450,SOD,condition_factor,avg_thickness,economic_index
47.44896,-122.372267,Three Tree Point,22,280,6864899,3.697,0.2166,0.8,0.0018
48.0617,-122.2939,Tulalip Bay,67,135,5545198,20.048,0.1732,0.875,0.0021
48.0617,-122.2939,Tulalip Bay,67,136,3670556,0.135,0.1597,0.945,0.0023
48.0617,-122.2939,Tulalip Bay,67,137,7831524,9.075,0.1946,0.855,0.002
48.0617,-122.2939,Tulalip Bay,67,138,5606185,0.787,0.2037,0.835,0.002
48.0617,-122.2939,Tulalip Bay,67,139,4974611,6.443,0.1114,0.735,0.002
48.0617,-122.2939,Tulalip Bay,67,140,5640873,1.035,0.2144,1,0.0024
48.0697859,-122.2997764,Tulalip Reservation,70,190,4215635,1.126,0.1737,0.845,0.002
48.0697859,-122.2997764,Tulalip Reservation,70,191,3759846,1.593,0.1871,0.82,0.0019
48.0697859,-122.2997764,Tulalip Reservation,70,192,4597377,0,0.151,0.83,0.002
48.0697859,-122.2997764,Tulalip Reservation,70,193,2521368,10.007,0.1604,0.64,0.0015
47.052362,-122.910912,West Bay Park,73,182,7223931,2.621,0.1708,0.78,0.002
47.052362,-122.910912,West Bay Park,73,183,4047412,3.572,0.2197,0.66,0.0015
47.052362,-122.910912,West Bay Park,73,184,7647788,5.789,0.201,0.845,0.002
47.052362,-122.910912,West Bay Park,73,185,4006818,0,0.1386,0.805,0.002
47.66586,-122.56698,Williams Olson Park,26,252,5178253,0,0.1876,0.575,0.0013
47.66586,-122.56698,Williams Olson Park,26,254,1705387,3.468,0.1901,0.615,0.0015
47.66586,-122.56698,Williams Olson Park,26,255,1267023,5.287,0.1388,0.785,0.002
47.66586,-122.56698,Williams Olson Park,26,256,3732773,17.073,0.1314,0.71,0.0019
